,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trajectories,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
,,ZED:TOP,,,ZED:BL,,,ZED:BR,,,ZED:FR,,,ZED:FL,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
110,0,-968.28125,669.975403,1046.29187,-1083.941895,803.926331,818.137024,-1092.605469,566.842468,800.439331,-875.63623,583.971069,810.005554,-870.782898,772.632751,807.364868
111,0,-968.276489,669.982544,1046.286499,-1083.956909,803.905273,818.150269,-1092.613525,566.85321,800.450378,-875.637817,583.971313,810.005615,-870.784302,772.637024,807.360779
112,0,-968.273254,669.989807,1046.279297,-1083.952637,803.912292,818.146179,-1092.617432,566.842407,800.456177,-875.633118,583.961365,810.015503,-870.773376,772.635559,807.367554
113,0,-968.271729,669.989258,1046.299194,-1083.950928,803.918884,818.138916,-1092.522339,566.785583,800.429138,-875.613098,583.969971,810.009644,-870.782715,772.642517,807.364197
114,0,-968.267639,669.997314,1046.2854,-1083.951416,803.913391,818.155273,-1092.642578,566.820068,800.487671,-875.625366,583.963684,810.002563,-870.781311,772.623901,807.358337
115,0,-968.269409,669.988586,1046.293213,-1083.93335,803.933289,818.139771,-1092.607056,566.849121,800.448486,-875.624329,583.963806,810.012268,-870.781372,772.656982,807.368042
116,0,-968.275085,669.984253,1046.294678,-1083.931641,803.92804,818.139099,-1092.577881,566.86084,800.438965,-875.612183,583.973267,810.005981,-870.778076,772.645508,807.362854
117,0,-968.268127,669.991577,1046.296021,-1083.940186,803.916565,818.148926,-1092.595581,566.851868,800.449951,-875.620972,583.968689,809.997803,-870.755737,772.655212,807.364319
118,0,-968.262207,669.992859,1046.30127,-1083.937622,803.922485,818.150208,-1092.599487,566.847351,800.475342,-875.616333,583.968079,810.016357,-870.763367,772.619751,807.359192
119,0,-968.260559,670.002075,1046.300293,-1083.922729,803.920776,818.140076,-1092.57605,566.870972,800.438049,-875.61084,583.974426,810.006165,-870.763062,772.645813,807.363953
120,0,-968.243103,670.013916,1046.299438,-1083.937378,803.921997,818.154358,-1092.61438,566.838501,800.493591,-875.600281,583.982971,810.006348,-870.737793,772.675171,807.349609
121,0,-968.228821,670.029175,1046.2948,-1083.930298,803.931396,818.142944,-1092.59729,566.844666,800.511108,-875.598389,583.996704,809.995728,-870.732361,772.677429,807.362061
122,0,-968.235535,670.025269,1046.297119,-1083.922119,803.914551,818.152527,-1092.483765,566.823547,800.436646,-875.590759,583.99231,810.013367,-870.734436,772.688049,807.352173
123,0,-968.205994,670.04126,1046.306396,-1083.89856,803.944336,818.141357,-1092.618286,566.817017,800.552795,-875.584167,583.999451,810.00708,-870.731995,772.681152,807.360596
124,0,-968.209961,670.040405,1046.306885,-1083.889771,803.941711,818.159241,-1092.535522,566.895142,800.447144,-875.563904,584.031006,810.002991,-870.721252,772.694397,807.34845
125,0,-968.199768,670.053833,1046.301025,-1083.883545,803.948792,818.141724,-1092.526001,566.893494,800.45929,-875.568481,584.023132,809.995483,-870.713074,772.703125,807.35376
126,0,-968.197266,670.042175,1046.295288,-1083.882324,803.950439,818.140503,-1092.542603,566.886047,800.478638,-875.556824,584.030884,810.015808,-870.706299,772.714417,807.352234
127,0,-968.156494,670.069092,1046.301147,-1083.882446,803.951904,818.141418,-1092.543579,566.888123,800.489502,-875.557373,584.037415,810.004456,-870.70105,772.707153,807.35083
128,0,-968.149536,670.070435,1046.30127,-1083.859009,803.970276,818.148804,-1092.553955,566.870728,800.521851,-875.547668,584.037598,810,-870.696289,772.716553,807.352844
129,0,-968.138855,670.074219,1046.307007,-1083.865479,803.9646,818.141541,-1092.437744,566.832825,800.47229,-875.529114,584.040222,810.001709,-870.679077,772.727661,807.349915
130,0,-968.1474,670.073486,1046.302856,-1083.862427,803.966309,818.145203,-1092.559692,566.862122,800.549438,-875.530273,584.059021,810.004211,-870.685059,772.735962,807.334473
131,0,-968.129333,670.078369,1046.295898,-1083.854614,803.968506,818.140991,-1092.480469,566.903809,800.473877,-875.539185,584.048035,809.995117,-870.667114,772.720581,807.345947
132,0,-968.120605,670.087585,1046.301514,-1083.854126,803.969482,818.144653,-1092.501099,566.899292,800.478333,-875.517517,584.057373,810.006226,-870.680115,772.739258,807.334167
133,0,-968.13385,670.07251,1046.298584,-1083.857056,803.965759,818.142334,-1092.470825,566.888916,800.488037,-875.512817,584.040527,810.004028,-870.66864,772.732849,807.349731
134,0,-968.121948,670.08551,1046.297974,-1083.854736,803.973694,818.153076,-1092.511353,566.891663,800.50293,-875.512512,584.056824,809.999451,-870.682739,772.746643,807.333069
135,0,-968.12793,670.081421,1046.306885,-1083.855225,803.966858,818.145813,-1092.513062,566.858704,800.51947,-875.500793,584.067749,809.998047,-870.674927,772.74585,807.350403
136,0,-968.117859,670.085449,1046.312378,-1083.858154,803.963928,818.140808,-1092.510132,566.870422,800.52478,-875.506592,584.043701,809.994385,-870.681213,772.744141,807.351624
137,0,-968.12085,670.086243,1046.302979,-1083.850708,803.971924,818.152893,-1092.515381,566.86261,800.527283,-875.497253,584.048767,809.993042,-870.666748,772.726929,807.35144
138,0,-968.119995,670.083557,1046.309692,-1083.863892,803.966858,818.14563,-1092.546753,566.840759,800.556824,-875.50116,584.051819,809.99762,-870.680481,772.750244,807.352539
139,0,-968.137329,670.073181,1046.306274,-1083.86438,803.938538,818.148499,-1092.568237,566.823425,800.578064,-875.50769,584.05957,809.990112,-870.683167,772.736572,807.351562
140,0,-968.148499,670.052124,1046.306763,-1083.885376,803.936523,818.153503,-1092.514771,566.859619,800.51825,-875.506714,584.038086,809.98761,-870.687561,772.739624,807.350464
141,0,-968.143799,670.063599,1046.292603,-1083.883911,803.935059,818.1427,-1092.602295,566.790222,800.605896,-875.504639,584.046082,809.994385,-870.695557,772.735229,807.353882
142,0,-968.149841,670.036804,1046.308472,-1083.892456,803.922607,818.154968,-1092.576172,566.792114,800.603333,-875.494568,584.0495,809.991577,-870.698181,772.726379,807.351868
143,0,-968.148438,670.037842,1046.308716,-1083.887817,803.924988,818.140869,-1092.630981,566.772156,800.625732,-875.497559,584.033813,809.991516,-870.692871,772.729248,807.356018
144,0,-968.147705,670.039856,1046.290771,-1083.905273,803.899536,818.146423,-1092.620361,566.740906,800.637146,-875.4953,584.042725,810.002197,-870.705933,772.734314,807.356506
145,0,-968.150269,670.035645,1046.296265,-1083.911621,803.893005,818.15448,-1092.616455,566.752136,800.633972,-875.508423,584.027954,809.990662,-870.708557,772.723816,807.348206
146,0,-968.151489,670.03479,1046.292114,-1083.914673,803.892334,818.137817,-1092.599365,566.74585,800.625977,-875.506348,584.029907,809.988647,-870.70343,772.726807,807.355713
147,0,-968.158447,670.028809,1046.300293,-1083.903076,803.882812,818.159851,-1092.590454,566.741943,800.600891,-875.493774,584.038208,809.999451,-870.720276,772.713623,807.346985
148,0,-968.156189,670.02179,1046.305176,-1083.935181,803.872681,818.161987,-1092.597656,566.722778,800.620483,-875.49646,584.034546,809.991089,-870.715759,772.716125,807.349915
149,0,-968.171692,670.009033,1046.295166,-1083.916504,803.868225,818.138184,-1092.568481,566.733337,800.57843,-875.493164,584.036072,809.998352,-870.725891,772.699463,807.348816
150,0,-968.162537,670.009644,1046.306763,-1083.925903,803.858276,818.149048,-1092.567383,566.722839,800.588867,-875.4823,584.047424,809.997375,-870.7229,772.721558,807.357605
